,date,year,water.year,GPP,GPP.lower,GPP.upper,ER,ER.lower,ER.upper,NEP,K600.daily,SV.cfs,SV.cms,z,min.DO,GHI.day,turb_min,turb_median,turb_max,QA.code
1,2018-05-16,2018,2018,NA,NA,NA,NA,NA,NA,NA,12,NA,NA,NA,NA,122,NA,NA,NA,0
2,2018-05-17,2018,2018,NA,NA,NA,NA,NA,NA,NA,12,4450,126,2.03,0.934,346,2.02,3.23,3.74,0
3,2018-05-18,2018,2018,8.9,8.6,9.2,-14.2,-14.7,-13.8,-5.3,12,4370,123.7,2.01,0.927,343,3.38,3.71,4.32,0
4,2018-05-19,2018,2018,8.9,8.7,9.1,-14.9,-15.2,-14.6,-6,12,4270,120.9,1.99,0.925,293,3.64,4.03,4.83,0
5,2018-05-20,2018,2018,8,7.7,8.3,-13.4,-13.8,-12.9,-5.3,12,4170,118.1,1.97,0.927,321,3.83,4.61,6.34,0
6,2018-05-21,2018,2018,8.8,8.5,9.1,-13.7,-14.1,-13.3,-5,12,3950,111.9,1.92,0.929,348,4.21,4.7,5.74,0
7,2018-05-22,2018,2018,9.1,8.8,9.5,-14.1,-14.6,-13.6,-5,12,3600,101.9,1.84,0.924,339,2.7,4.98,10,0
8,2018-05-23,2018,2018,7.3,6.8,7.8,-12.2,-12.9,-11.5,-4.9,12,3130,88.6,1.73,0.924,170,2.66,2.93,3.51,0
9,2018-05-24,2018,2018,7.4,7.2,7.6,-11.3,-11.6,-11,-3.9,12,2900,82.1,1.67,0.933,301,2.9,3.31,4.14,0
10,2018-05-25,2018,2018,2.4,2.2,2.6,-8.1,-8.4,-7.8,-5.7,12,2760,78.2,1.63,0.929,78,3.13,4.15,7.38,0
11,2018-05-26,2018,2018,6.2,5.9,6.4,-8.2,-8.5,-7.9,-2,12.1,2700,76.5,1.62,0.944,359,4.62,6.54,10.19,0
12,2018-05-27,2018,2018,7.6,7.4,7.7,-9,-9.3,-8.8,-1.5,12.2,2520,71.4,1.57,0.939,357,5.54,6.88,12.14,0
13,2018-05-28,2018,2018,8.7,8.5,8.8,-10.5,-10.7,-10.3,-1.8,12.3,2280,64.6,1.5,0.934,362,7.79,10.26,13.42,0
14,2018-05-29,2018,2018,9.1,8.9,9.3,-11.1,-11.3,-10.8,-2,12.5,2080,58.9,1.44,0.923,338,6.4,7.81,13.21,0
15,2018-05-30,2018,2018,8.4,8.2,8.6,-10.9,-11.2,-10.7,-2.6,12.6,1980,56.1,1.41,0.918,324,4.48,6.48,8.67,0
16,2018-05-31,2018,2018,6.2,5.5,6.8,-7.3,-8.3,-6.4,-1.1,12.6,1940,54.9,1.39,0.92,177,1.77,2.61,7.74,0
17,2018-06-01,2018,2018,8.6,8.5,8.8,-7.2,-7.5,-7,1.4,12.6,1920,54.4,1.39,0.95,365,1.84,2.09,2.62,0
18,2018-06-02,2018,2018,9.9,9.7,10.1,-9,-9.3,-8.7,0.9,12.7,1770,50.1,1.34,0.937,357,1.92,2.2,3.12,0
19,2018-06-03,2018,2018,10.2,10,10.3,-9.9,-10.1,-9.7,0.3,12.6,1700,48.1,1.31,0.931,354,1.85,2.14,3.85,0
20,2018-06-04,2018,2018,9.9,9.7,10.1,-9.5,-9.8,-9.2,0.4,12.5,1630,46.2,1.29,0.926,361,1.79,2.05,2.67,0
21,2018-06-05,2018,2018,10.1,9.9,10.3,-9.4,-9.7,-9,0.7,12.4,1610,45.6,1.28,0.925,318,2.04,2.29,5.93,0
22,2018-06-06,2018,2018,10.1,9.9,10.2,-9.8,-10.1,-9.6,0.2,12.3,1570,44.5,1.27,0.925,340,1.73,2.15,3.99,0
23,2018-06-07,2018,2018,9.7,9.5,9.9,-9.2,-9.5,-8.8,0.5,12.1,1530,43.3,1.25,0.915,356,1.79,2.21,5.77,0
24,2018-06-08,2018,2018,9.5,9.3,9.7,-9.4,-9.7,-9.1,0.1,12.6,1870,53,1.37,0.928,309,2,2.65,3.51,0
