datetime,GHI,GHI_interp,SV.cfs,domg,turb
2022-07-31,NA,0,1020,6.66,1.76
2022-07-31 00:15:00,NA,0,1020,6.67,1.75
2022-07-31 00:30:00,0,0,1020,6.66,1.69
2022-07-31 00:45:00,NA,0,1020,6.68,1.8
2022-07-31 01:00:00,NA,0,1020,6.71,1.89
2022-07-31 01:15:00,NA,0,1020,6.69,1.87
2022-07-31 01:30:00,0,0,1020,6.7,1.86
2022-07-31 01:45:00,NA,0,1020,6.71,1.91
2022-07-31 02:00:00,NA,0,1020,6.7,1.79
2022-07-31 02:15:00,NA,0,1020,6.71,1.9
2022-07-31 02:30:00,0,0,1020,6.71,1.9
2022-07-31 02:45:00,NA,0,1030,6.75,2.1
2022-07-31 03:00:00,NA,0,1030,6.73,1.94
2022-07-31 03:15:00,NA,0,1030,6.72,2.1
2022-07-31 03:30:00,0,0,1030,6.74,1.94
2022-07-31 03:45:00,NA,0,1040,6.74,2.27
2022-07-31 04:00:00,NA,0,1040,6.75,2.56
2022-07-31 04:15:00,NA,0,1050,6.76,2
2022-07-31 04:30:00,0,0,1050,6.76,2.32
2022-07-31 04:45:00,NA,3,1060,6.76,2.35
2022-07-31 05:00:00,NA,6,1060,6.78,2.22
2022-07-31 05:15:00,NA,9,1070,6.79,2.04
2022-07-31 05:30:00,12,12,1070,6.81,2.18
2022-07-31 05:45:00,NA,38,1070,6.8,2.09
2022-07-31 06:00:00,NA,64,1080,6.85,2.31
2022-07-31 06:15:00,NA,90,1090,6.87,2.05
2022-07-31 06:30:00,116,116,1090,6.92,1.99
2022-07-31 06:45:00,NA,156,1090,6.94,1.86
2022-07-31 07:00:00,NA,196,1090,6.99,2.05
2022-07-31 07:15:00,NA,235,1090,7.05,2.04
2022-07-31 07:30:00,275,275,1090,7.12,1.99
2022-07-31 07:45:00,NA,316,1090,7.17,1.9
2022-07-31 08:00:00,NA,358,1100,7.24,1.96
2022-07-31 08:15:00,NA,400,1100,7.33,2.03
2022-07-31 08:30:00,441,441,1100,7.4,1.96
2022-07-31 08:45:00,NA,474,1100,7.49,1.98
2022-07-31 09:00:00,NA,507,1100,7.6,2.06
2022-07-31 09:15:00,NA,540,1100,7.7,1.88
2022-07-31 09:30:00,573,573,1100,7.78,1.97
2022-07-31 09:45:00,NA,611,1090,7.82,2.1
2022-07-31 10:00:00,NA,648,1090,7.92,2.09
2022-07-31 10:15:00,NA,686,1080,7.99,1.97
2022-07-31 10:30:00,724,724,1080,8.01,2.23
2022-07-31 10:45:00,NA,666,1080,8.08,1.94
2022-07-31 11:00:00,NA,607,1080,8.18,1.72
2022-07-31 11:15:00,NA,548,1080,8.22,1.9
2022-07-31 11:30:00,490,490,1070,8.17,1.77
2022-07-31 11:45:00,NA,464,1070,8.1,1.74
2022-07-31 12:00:00,NA,439,1070,8.04,1.81
2022-07-31 12:15:00,NA,414,1070,8.02,1.77
